lat,lon
46.48,-84.5
44.27,-79.9
46.35,-82.55
56.02,-87.68
44.23,-76.6
49.77,-86.92
49.82,-92.73
43.17,-79.93
43.45,-80.38
43.85,-79.37
47.82,-83.33
51.28,-80.6
45.68,-74.03
45.52,-75.57
43.92,-78.88
45.32,-75.67
51.45,-90.22
44.22,-78.35
44.97,-79.3
42.28,-82.95
49.78,-94.37
48.37,-89.32
51.07,-93.8
46.63,-80.8
43.2,-79.17
48.75,-86.35
53.82,-89.9
44.12,-77.53
48.57,-81.38
43.63,-79.4
44.75,-81.12
45.95,-77.32
50.12,-91.9
47.7,-79.85
43.03,-81.15
47.97,-84.78
46.37,-79.42
49.42,-82.47
43.67,-79.62
45.88,-82.57
43,-82.32
44.93,-74.85
48.65,-93.43
44.63,-75.73
43.55,-80.22
45.53,-78.27
42.25,-81.9
45.97,-81.48
45.12,-74.28
48.75,-91.62
44.5,-80.22
49.03,-90.47
43.77,-81.72
44.42,-75.85
44.55,-79.22
46.07,-74.55
52.18,-87.93
43.98,-80.75
49.73,-84.15
42.87,-79.25
51.43,-90.22
43.83,-77.15
45.07,-77.87
49.47,-94.77
45.42,-73.93
43.3,-79.8
54.98,-85.43
50.28,-88.9
44.48,-79.55
49.15,-88.33
42.87,-80.55
50.62,-93.22
45.83,-75.63
45,-75.63
48.15,-80
45.33,-80.03
42.45,-81.88
43.18,-79.4
53.07,-93.35
43.28,-79.9
42.97,-79.33
44.23,-79.78
44.03,-80.02
46.7,-79.1
45.13,-79.4
49.4,-82.43
45.87,-77.25
51.28,-80.62
43.67,-79.4
42.03,-82.9
43,-82.3
45.23,-81.63
44.35,-78.3
45.38,-75.72
49.67,-93.73
49.68,-88.3
48.6,-86.28
47.72,-84.82
48.57,-93.4
48.72,-94.6
46.48,-84.35
53.43,-91.77
51.67,-85.9
52.2,-87.93
54.98,-85.45
42.3,-82.08
44.1,-79.17
43.95,-78.17
43.75,-79.48
43.82,-79.52
43.87,-79.03
43.67,-79.38
43.97,-79.83
43.63,-79.65
43.63,-79.35
43.49,-79.9
43.9,-79.32
44.52,-79.58
43.87,-78.95
45,-78.67
43.2,-79.27
43.9,-78.87
44.18,-79.67
42.97,-79.26
43.78,-79.19
43.86,-79.31
43.25,-79.83
52.04,-95.46
45.31,-79.28
52.99,-87.36
48.8,-79.2
52.93,-82.43
